Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,9689,0,0,0,8.54897,14.489,5,24,1.95479,1,2,0,-inf,0,0,9.20213,0.2,18.7
2,9198,0,0,0,14.6775,26.4411,17,27,2,2,2,0,-inf,0,0,22.1456,11.7,22.7
3,8588,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
4,8542,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
5,10708,0,0,0,5.2006,7.97198,1,18,1.29081,1,2,0,-inf,0,0,2.61348,-4.7,11.7
6,8450,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
7,8408,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
8,10313,0,0,0,5.71017,8.96693,5,15,1.18578,1,2,0,-inf,0,0,3.67067,0.2,10.3
9,8318,0,0,0,15,27,27,27,2,2,2,0,-inf,0,0,22.7,22.7,22.7
10,10395,0,0,0,5.05964,7.67157,5,15,1.37297,1,2,0,-inf,0,0,2.40031,0.2,10.3
21,9379,0,0,0,6.67683,10.8016,0,16,1,1,1,0,-inf,0,0,5.48274,0.2,10.3
22,8843,0,0,0,9.78887,17.1174,0,22,1.17505,1,2,0,-inf,0,0,11.5733,0.2,16.3
23,2928,0,0,0,14.9997,26.9993,25,27,2,2,2,0,-inf,0,0,22.6994,21,22.7
24,2921,0,0,0,14.9976,26.9955,18,27,2,2,2,0,-inf,0,0,22.6949,11.7,22.7
25,19304,0,0,0,9.94058,17.3653,13,26,1.74606,1,2,0,-inf,0,0,12.2267,8.1,21
26,18436,0,0,0,14.951,26.9167,13,27,2,2,2,0,-inf,0,0,22.6146,8.1,22.7
27,11742,0,0,0,6.43655,10.3589,0,18,1.43476,1,2,0,-inf,0,0,5.12072,-4.7,11.7
28,17778,0,0,0,6.13354,9.7705,0,15,1.02121,1,2,0,-inf,0,0,4.57045,-4.7,10.3
29,15718,0,0,0,14.9373,26.8913,20,27,2,2,2,0,-inf,0,0,22.5815,14.1,22.7
30,18205,0,0,0,5.60016,8.76369,2,13,1.02516,1,2,0,-inf,0,0,3.44275,-4.7,8.1
