NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,343.007,5,4.30141,0.455242,0.00714092,0.236209,0
1,UE,0,100000,100000,0.259309,5,4.78745,0.174076,0.00696231,0.0315138,0
2,UE,0,100000,100000,0.261828,5,4.77919,0.174076,0.00845295,0.0382808,0
3,UE,0,100000,100000,0.258571,5,4.78987,0.174076,0.0064089,0.029648,0
4,UE,0,100000,100000,0.259056,5,4.78828,0.174076,0.00660527,0.0310406,0
5,UE,0,100000,100000,0.262141,5,4.77816,0.174076,0.0155957,0.0321655,0
6,UE,0,100000,100000,0.259004,5,4.78845,0.174076,0.00654279,0.0309335,0
7,UE,0,100000,100000,0.258179,5,4.79115,0.174076,0.00631075,0.0284606,0
8,UE,0,100000,100000,0.262057,5,4.77844,0.174076,0.0139618,0.0335224,0
9,UE,0,100000,100000,0.258013,5,4.7917,0.174076,0.00608756,0.0281392,0
10,UE,0,100000,100000,0.262743,5,4.77619,0.174076,0.015542,0.034192,0
11,UE,0,100000,100000,0.260366,5,4.78398,0.174076,0.0078193,0.0341206,0
12,UE,0,100000,100000,0.260129,5,4.78476,0.174076,0.00725687,0.0339063,0
13,UE,0,100000,100000,0.251492,5,4.81308,0.174076,0.00168702,0.0111591,0
14,UE,0,100000,100000,0.252546,5,4.80962,0.174076,0.00212439,0.0141765,0
15,UE,0,100000,100000,0.257093,5,4.79471,0.174076,0.00511461,0.0260947,0
16,UE,0,100000,100000,0.255284,5,4.8007,0.174076,0.00427559,0.0209526,0
17,UE,0,100000,100000,0.251901,5,4.81174,0.174076,0.00165132,0.0125338,0
18,UE,0,100000,100000,0.255955,5,4.79845,0.174076,0.00632907,0.0211489,0
19,UE,0,100000,100000,0.253717,5,4.80578,0.174076,0.00315091,0.0169887,0
20,UE,0,100000,100000,0.256423,5,4.79691,0.174076,0.00818612,0.0208276,0
