Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2783,11.7377,21.0553,15,27,2,2,2
2,3044,14.0407,25.2993,18,27,2,2,2
3,2832,15,27,27,27,2,2,2
4,2869,15,27,27,27,2,2,2
5,2731,5.1743,7.94837,2,13,1.02856,1,2
6,2865,15,27,27,27,2,2,2
7,2691,15,27,27,27,2,2,2
8,2841,5.16755,7.79373,5,13,1.00176,1,2
9,2662,15,27,27,27,2,2,2
10,2895,6.80864,10.9827,7,21,1.96822,1,2
21,2759,8.5705,14.5872,11,18,1,1,1
22,2783,9.3428,16.1419,10,22,1.61013,1,2
23,374,15,27,27,27,2,2,2
24,465,14.9828,26.9763,25,27,2,2,2
25,4934,10.2096,17.9276,13,26,1.5908,1,2
26,4656,14.9624,26.9448,25,27,2,2,2
27,1308,7.91667,13.1514,9,21,1.96407,1,2
28,3624,5.99283,9.54194,5,13,1.00414,1,2
29,3343,15,27,27,27,2,2,2
30,3744,5.88622,9.31731,5,17,1.46047,1,2
