FlowID,Source,Destination,SourcePort,DestinationPort,Direction,Application,UeIndex,TargetMbps,PacketSizeBytes,ConfiguredProtocol,ObservedProtocol,IsApplicationFlow,TxPackets,RxPackets,LostPackets,Throughput_Kbps,Delay_ms,Jitter_ms,FirstTx_s,LastRx_s,ObservedDuration_s,OfferedLoad_Kbps,DeliveryRatio_pct
1,13.0.0.5,13.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44438.4,0,0,0.016634,0.0176361,0.00100209,44523,100
2,14.0.0.6,14.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,44438.4,0,0,0.0166342,0.0176363,0.00100209,44448.6,100
3,14.0.0.5,14.0.0.6,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41632.4,0,0,0.0166345,0.0176365,0.00100207,41641.3,100
4,13.0.0.6,13.0.0.5,2123,2123,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,20,20,0,41632.4,0,0,0.0166347,0.0176368,0.00100207,41641.3,100
5,1.0.0.2,7.0.0.2,49153,5000,DL,video,0,25,1440,UDP,UDP,1,8680,8671,9,24801.2,23,0,0.500461,4.51017,4.00971,24891.6,99.8963
6,1.0.0.2,7.0.0.3,49154,5001,DL,video,1,25,1440,UDP,UDP,1,8634,3411,5223,8735.24,1964,1,0.521513,4.99991,4.4784,24891.7,39.5066
7,7.0.0.2,1.0.0.1,49153,5020,UL,video,0,0.3125,300,UDP,UDP,1,518,7,511,372.512,2,0,0.52768,0.575833,0.0481528,334.303,1.35135
8,14.0.0.5,14.0.0.6,2152,2152,unknown,control_or_unknown,-1,0,0,unknown,UDP,0,165,165,0,30.7415,0,0,0.529708,4.55521,4.0255,30.7415,100
9,1.0.0.2,7.0.0.4,49155,5002,DL,video,2,25,1440,UDP,UDP,1,8589,8530,59,23747,54,0,0.542566,4.66218,4.11961,24891.7,99.3131
10,7.0.0.3,1.0.0.1,49153,5021,UL,video,1,0.3125,300,UDP,UDP,1,515,0,515,0,0,0,0.548733,0,5,334.307,0
11,1.0.0.2,7.0.0.5,49156,5003,DL,video,3,25,1440,UDP,UDP,1,8543,8496,47,24688.7,41,0,0.563619,4.5103,3.94668,24891.7,99.4498
12,7.0.0.4,1.0.0.1,49153,5022,UL,video,2,0.3125,300,UDP,UDP,1,512,0,512,0,0,0,0.569785,0,5,334.311,0
13,1.0.0.2,7.0.0.6,49157,5004,DL,video,4,25,1440,UDP,UDP,1,8497,8307,190,24061.2,109,0,0.584671,4.54419,3.95952,24891.7,97.7639
14,7.0.0.5,1.0.0.1,49153,5023,UL,video,3,0.3125,300,UDP,UDP,1,510,0,510,0,0,0,0.590838,0,5,334.314,0
15,1.0.0.2,7.0.0.7,49158,5005,DL,video,5,25,1440,UDP,UDP,1,8452,8400,52,24672.1,65,0,0.605724,4.51044,3.90472,24891.7,99.3848
16,7.0.0.6,1.0.0.1,49153,5024,UL,video,4,0.3125,300,UDP,UDP,1,507,2,505,528.765,2,0,0.611891,0.621583,0.00969239,334.317,0.394477
17,1.0.0.2,7.0.0.8,49159,5006,DL,video,6,25,1440,UDP,UDP,1,8406,8272,134,23908.4,122,0,0.626777,4.59482,3.96805,24891.7,98.4059
18,7.0.0.7,1.0.0.1,49153,5025,UL,video,5,0.3125,300,UDP,UDP,1,504,0,504,0,0,0,0.632943,0,5,334.321,0
19,1.0.0.2,7.0.0.9,49160,5007,DL,video,7,25,1440,UDP,UDP,1,8360,4873,3487,12838.5,1516,0,0.647829,4.99981,4.35199,24891.8,58.2895
20,7.0.0.8,1.0.0.1,49153,5026,UL,video,6,0.3125,300,UDP,UDP,1,501,1,500,1306.04,1,0,0.653996,0.655958,0.00196203,334.325,0.199601
21,1.0.0.2,7.0.0.10,49161,5008,DL,video,8,25,1440,UDP,UDP,1,8315,7727,588,22095.6,152,0,0.668882,4.67958,4.0107,24891.8,92.9284
22,7.0.0.9,1.0.0.1,49153,5027,UL,video,7,0.3125,300,UDP,UDP,1,499,0,499,0,0,0,0.675048,0,5,334.328,0
23,1.0.0.2,7.0.0.11,49162,5009,DL,video,9,25,1440,UDP,UDP,1,8269,0,8269,0,0,0,0.689934,0,5,24891.8,0
24,7.0.0.10,1.0.0.1,49153,5028,UL,video,8,0.3125,300,UDP,UDP,1,496,2,494,526.625,2,0,0.696101,0.705833,0.00973179,334.332,0.403226
25,1.0.0.2,7.0.0.12,49163,5010,DL,video,10,25,1440,UDP,UDP,1,8223,298,7925,721.191,737,21,0.710987,4.94632,4.23534,24891.8,3.62398
26,7.0.0.11,1.0.0.1,49153,5029,UL,video,9,0.3125,300,UDP,UDP,1,493,0,493,0,0,0,0.717154,0,5,334.336,0
27,1.0.0.2,7.0.0.13,49164,5011,DL,video,11,25,1440,UDP,UDP,1,8177,4077,4100,10958.1,860,0,0.73204,4.99905,4.26701,24891.8,49.8594
28,7.0.0.12,1.0.0.1,49153,5030,UL,video,10,0.3125,300,UDP,UDP,1,490,0,490,0,0,0,0.738206,0,5,334.34,0
29,1.0.0.2,7.0.0.14,49165,5012,DL,voip,12,1,160,UDP,UDP,1,2927,2917,10,1140.74,27,0,0.753912,4.50968,3.75577,1147.85,99.6584
30,7.0.0.13,1.0.0.1,49153,5031,UL,video,11,0.3125,300,UDP,UDP,1,488,0,488,0,0,0,0.759259,0,5,334.343,0
31,1.0.0.2,7.0.0.15,49166,5013,DL,voip,13,1,160,UDP,UDP,1,2911,2910,1,1144.24,11,0,0.774964,4.51026,3.7353,1147.85,99.9656
32,7.0.0.14,1.0.0.1,49153,5032,UL,voip,12,0.25,160,UDP,UDP,1,727,7,720,321.731,1,0,0.777752,0.809708,0.0319561,287.259,0.962861
33,1.0.0.2,7.0.0.16,49167,5014,DL,social,14,20,500,UDP,UDP,1,18526,16087,2439,15781.1,642,0,0.794937,4.99989,4.20495,20626.1,86.8347
34,7.0.0.15,1.0.0.1,49153,5033,UL,voip,13,0.25,160,UDP,UDP,1,723,130,593,50.8299,143,16,0.798804,4.55521,3.7564,287.262,17.9806
35,1.0.0.2,7.0.0.17,49168,5015,DL,social,15,20,500,UDP,UDP,1,18421,18196,225,20316.8,34,0,0.815989,4.51039,3.69441,20626.1,98.7786
36,7.0.0.16,1.0.0.1,49153,5034,UL,social,14,1,250,UDP,UDP,1,1842,0,1842,0,0,0,0.816737,0,5,1086.53,0
37,1.0.0.2,7.0.0.18,49169,5016,DL,gaming,16,10,500,UDP,UDP,1,9157,9150,7,10276.2,18,0,0.837242,4.51015,3.67291,10313.6,99.9236
38,7.0.0.17,1.0.0.1,49153,5035,UL,social,15,1,250,UDP,UDP,1,1832,4,1828,1080.09,2,0,0.837789,0.845833,0.0080433,1086.53,0.218341
