Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,2781,0,0,0,9.79827,17.2629,16,18,2,2,2,0,-inf,0,0,11.4176,10.3,11.7
2,9058,0,0,0,1.43608,1.06657,0,3,1,1,1,0,-inf,0,0,-3.17866,-4.7,-2.3
3,3217,0,0,0,4.47964,6.38794,2,8,1.01026,1,2,0,-inf,0,0,1.25101,-4.7,2.4
4,2734,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
5,2758,0,0,0,5.76686,9.04025,7,15,1.90827,1,2,0,-inf,0,0,3.88455,2.4,10.3
6,2706,0,0,0,11.1478,19.9741,18,23,2,2,2,0,-inf,0,0,14.3721,11.7,18.7
7,2692,0,0,0,10,18,18,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
8,5912,0,0,0,2.4408,2.6612,2,5,1.00321,1,2,0,-inf,0,0,-3.62004,-4.7,0.2
9,2819,0,0,0,8.02519,13.4452,13,15,2,2,2,0,-inf,0,0,8.15541,8.1,10.3
10,27535,0,0,0,0,0,0,0,1,1,1,0,-inf,0,0,0,0,0
11,4064,0,0,0,2.77904,3.54405,2,4,1.22096,1,2,0,-inf,0,0,-2.83031,-4.7,-2.3
21,5598,0,0,0,2.38871,2.3846,1,3,1,1,1,0,-inf,0,0,-3.7671,-4.7,-2.3
22,467,0,0,0,4.55889,6.54604,5,7,2,2,2,0,-inf,0,0,1.42955,0.2,2.4
23,390,0,0,0,4.12051,5.87949,4,8,1.43846,1,2,0,-inf,0,0,0.33359,-2.3,2.4
24,4800,0,0,0,2.99646,2.99646,2,3,1,1,1,0,-inf,0,0,-2.3085,-4.7,-2.3
25,4675,0,0,0,8.32513,14.0214,13,15,2,2,2,0,-inf,0,0,8.81529,8.1,10.3
26,940,0,0,0,5.93191,9.44681,5,12,1.17234,1,2,0,-inf,0,0,4.035,0.2,5.9
27,3615,0,0,0,4,5.98506,5,6,1,1,1,0,-inf,0,0,0.2,0.2,0.2
28,3147,0,0,0,11.2501,20.1398,18,23,2,2,2,0,-inf,0,0,14.6112,11.7,18.7
29,3551,0,0,0,4.4655,6.72712,4,8,1.26725,1,2,0,-inf,0,0,1.14393,-2.3,2.4
