SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,320880,8,2,253,1.6847,0.018496,4.04012,2.26523,-17.3292,6.06394
0,2,320880,8,2,253,0.0884275,0.00112666,0.238526,-10.5341,-29.4821,-6.22464
0,3,320880,8,2,253,0.991244,0.027723,2.10427,-0.0381938,-15.5716,3.23101
0,4,320880,8,2,253,4.16469,0.0745748,7.37816,6.19582,-11.2741,8.67948
0,5,320880,8,2,253,2.25944,0.0368458,4.15032,3.54001,-14.3361,6.18082
0,6,320880,8,2,253,1.17443,0.0146857,2.72419,0.698259,-18.331,4.35237
0,7,320880,8,2,253,2.33923,0.0228236,6.24476,3.69074,-16.4162,7.95516
0,8,320880,8,2,253,0.669034,0.0136361,1.1216,-1.74552,-18.6531,0.498363
0,9,320880,8,2,253,0.367261,0.00743673,0.586414,-4.35025,-21.2862,-2.31796
0,10,320880,8,2,253,0.0115234,0.000204212,0.0204129,-19.3842,-36.8992,-16.901
0,11,320880,8,2,253,0.170482,0.00297141,0.280133,-7.68321,-25.2704,-5.52636
0,12,320880,8,2,253,0.182267,0.00353187,0.281906,-7.39293,-24.5199,-5.49895
0,13,320880,8,2,253,1.7057,0.0403481,2.97751,2.31901,-13.9418,4.73853
0,14,320880,8,2,253,1.16207,0.0257682,1.92889,0.652322,-15.8892,2.85306
0,15,320880,8,2,253,0.924452,0.0224226,1.57469,-0.341155,-16.4931,1.97195
0,16,320880,8,2,253,0.59985,0.0169308,1.37251,-2.21958,-17.7132,1.37515
0,17,320880,8,2,253,2.4524,0.0439871,4.30607,3.89591,-13.5667,6.34081
0,18,320880,8,2,253,2.4742,0.0550583,3.98328,3.93434,-12.5918,6.00241
0,19,320880,8,2,253,3.34671,0.0322589,9.41774,5.24618,-14.9135,9.73947
0,20,320880,8,2,253,0.403396,0.00985946,0.74378,-3.94268,-20.0615,-1.28556
1,0,17760,2,8,253,1.98235,0.265266,3.72672,2.9718,-5.76318,5.71326
2,0,28775,2,8,253,0.107901,0.0178063,0.227511,-9.66977,-17.4943,-6.42997
3,0,22875,2,8,253,1.19861,0.38344,2.20464,0.786786,-4.16303,3.43337
4,0,18096,2,8,253,4.9859,1.28027,7.22586,6.97743,1.07302,8.58889
5,0,17321,2,8,253,3.04871,0.70271,4.2381,4.84117,-1.53224,6.27171
6,0,17677,2,8,253,1.45857,0.257329,2.58531,1.63928,-5.89512,4.12512
7,0,17588,2,8,253,2.9393,0.387681,5.7674,4.68245,-4.11526,7.6098
8,0,25751,2,8,253,0.771461,0.231362,1.02518,-1.12686,-6.35708,0.107992
9,0,16961,2,8,253,0.466102,0.154673,0.599114,-3.31519,-8.10585,-2.2249
10,0,32157,2,8,253,0.0148759,0.00343287,0.0207465,-18.2752,-24.6434,-16.8305
11,0,19116,2,8,253,0.207279,0.0492653,0.277654,-6.83445,-13.0746,-5.56497
12,0,27685,2,8,253,0.218209,0.056874,0.268107,-6.61128,-12.4509,-5.71692
13,0,6526,2,8,253,2.03352,0.746863,2.76817,3.08248,-1.26759,4.42192
14,0,8035,2,8,253,1.33636,0.508273,1.95914,1.25923,-2.93903,2.92066
15,0,29196,2,8,253,1.23778,0.445673,1.68168,0.926431,-3.50984,2.25742
16,0,29103,2,8,253,0.748278,0.226486,1.36101,-1.25937,-6.44959,1.3386
17,0,26133,2,8,253,2.84711,0.746104,4.09861,4.54405,-1.27201,6.12637
18,0,28620,2,8,253,3.02109,1.01338,3.90758,4.80163,0.0577332,5.91908
19,0,28610,2,8,253,4.38991,0.546951,8.56744,6.42455,-2.62052,9.32851
20,0,28418,2,8,253,0.484502,0.196336,0.731168,-3.14705,-7.07,-1.35983
