Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,8681,0,0,0,11.5325,21.0151,18,24,2,2,2,0,-inf,0,0,15.2676,11.7,18.7
2,21904,0,0,0,3.98863,5.61345,3,10,1,1,1,0,-inf,0,0,0.0864865,-2.3,4.3
3,14059,0,0,0,4.75546,7.03606,6,8,2,2,2,0,-inf,0,0,1.86201,0.2,2.4
4,9030,0,0,0,13.3652,24.0695,18,25,2,2,2,0,-inf,0,0,19.5302,11.7,21
5,8536,0,0,0,8.05284,13.6659,11,15,2,2,2,0,-inf,0,0,8.21624,5.9,10.3
6,8732,0,0,0,14.1267,25.5284,24,27,2,2,2,0,-inf,0,0,21.095,18.7,22.7
7,8725,0,0,0,13.5103,24.5089,18,25,2,2,2,0,-inf,0,0,19.8735,11.7,21
8,17774,0,0,0,4.77101,7.25278,5,11,1.29718,1,2,0,-inf,0,0,1.89557,0.2,5.9
9,8319,0,0,0,10,17.8161,17,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
10,28819,0,0,0,1.99091,1.10247,0,2,1,1,1,0,-inf,0,0,-4.67864,-4.7,-4.7
11,14608,0,0,0,5.36049,8.55791,4,10,1.00253,1,2,0,-inf,0,0,3.08246,-2.3,4.3
21,19984,0,0,0,4.5564,7.10618,4,8,1.02747,1,2,0,-inf,0,0,1.41583,-2.3,2.4
22,3023,0,0,0,7.44195,12.1307,11,13,2,2,2,0,-inf,0,0,6.87228,5.9,8.1
23,2962,0,0,0,5.69615,9.19885,7,10,2,2,2,0,-inf,0,0,3.72269,2.4,4.3
24,18832,0,0,0,5.05438,7.84526,4,9,1.10456,1,2,0,-inf,0,0,2.40921,-2.3,4.3
25,18113,0,0,0,10.0537,18.1073,18,22,2,2,2,0,-inf,0,0,11.8234,11.7,16.3
26,11335,0,0,0,5.14654,8.13957,6,11,2,2,2,0,-inf,0,0,2.52213,0.2,5.9
27,23031,0,0,0,4,6,6,6,2,2,2,0,-inf,0,0,0.2,0.2,0.2
28,15968,0,0,0,13.9424,24.9424,24,25,2,2,2,0,-inf,0,0,20.8675,18.7,21
29,21609,0,0,0,5.19982,8.06099,7,9,2,2,2,0,-inf,0,0,2.77967,2.4,4.3
