NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,166.509,5,4.23568,0.436215,0.0107205,0.317383,0
1,UE,0,100000,100000,0.258134,5,4.79283,0.171604,0.00635534,0.0292105,0
2,UE,0,100000,100000,0.26269,5,4.77789,0.171604,0.0209883,0.029514,0
3,UE,0,100000,100000,0.260239,5,4.78593,0.171604,0.0125603,0.0299068,0
4,UE,0,100000,100000,0.258583,5,4.79136,0.171604,0.00666775,0.0303711,0
5,UE,0,100000,100000,0.257971,5,4.79337,0.171604,0.00624823,0.028782,0
6,UE,0,100000,100000,0.258172,5,4.79271,0.171604,0.0063732,0.0293177,0
7,UE,0,100000,100000,0.258251,5,4.79245,0.171604,0.00643568,0.0295141,0
8,UE,0,100000,100000,0.261756,5,4.78096,0.171604,0.0159083,0.0315314,0
9,UE,0,100000,100000,0.258221,5,4.79254,0.171604,0.00629286,0.0295586,0
10,UE,0,100000,100000,0.281278,5,4.717,0.171604,0.0715885,0.0398075,0
11,UE,0,100000,100000,0.261037,5,4.78331,0.171604,0.0143905,0.0306924,0
12,UE,0,100000,100000,0.262287,5,4.77922,0.171604,0.0180421,0.0311386,0
13,UE,0,100000,100000,0.252242,5,4.81215,0.171604,0.00212439,0.014123,0
14,UE,0,100000,100000,0.252223,5,4.81221,0.171604,0.00209761,0.0140873,0
15,UE,0,100000,100000,0.256615,5,4.79781,0.171604,0.00473972,0.0258446,0
16,UE,0,100000,100000,0.254948,5,4.80328,0.171604,0.0042131,0.020908,0
17,UE,0,100000,100000,0.251106,5,4.81587,0.171604,0.00132999,0.0111947,0
18,UE,0,100000,100000,0.254646,5,4.80427,0.171604,0.00598108,0.0181493,0
19,UE,0,100000,100000,0.253089,5,4.80937,0.171604,0.00315094,0.0158728,0
20,UE,0,100000,100000,0.254486,5,4.80479,0.171604,0.0053204,0.0182832,0
