SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,30863,8,2,253,0.798226,0.018496,3.7905,-0.978742,-17.3292,5.78697
0,2,30863,8,2,253,0.0418094,0.00112666,0.209082,-13.7873,-29.4821,-6.79684
0,3,30863,8,2,253,0.474995,0.027723,2.10427,-3.23311,-15.5716,3.23101
0,4,30863,8,2,253,1.98823,0.0745733,6.79056,2.98466,-11.2742,8.31906
0,5,30863,8,2,253,1.07311,0.0368458,3.97829,0.306446,-14.3361,5.99697
0,6,30863,8,2,253,0.552696,0.0146857,2.51925,-2.57514,-18.331,4.01271
0,7,30863,8,2,253,1.09369,0.0228238,5.64188,0.388938,-16.4161,7.51423
0,8,30863,8,2,253,0.318236,0.0136361,1.08695,-4.97251,-18.6531,0.362107
0,9,30863,8,2,253,0.174347,0.00743672,0.585464,-7.58585,-21.2862,-2.325
0,10,30863,8,2,253,0.00547865,0.000204212,0.0197923,-22.6133,-36.8992,-17.035
0,11,30863,8,2,253,0.0810021,0.00297141,0.279529,-10.915,-25.2704,-5.53573
0,12,30863,8,2,253,0.0863743,0.00353187,0.280999,-10.6362,-24.5199,-5.51296
0,13,30863,8,2,253,0.814863,0.0403481,2.97751,-0.889153,-13.9418,4.73853
0,14,30863,8,2,253,0.553198,0.0257682,1.92889,-2.57119,-15.8892,2.85306
0,15,30863,8,2,253,0.440932,0.0224213,1.57462,-3.55628,-16.4934,1.97176
0,16,30863,8,2,253,0.287193,0.0169305,1.3725,-5.41827,-17.7133,1.37512
0,17,30863,8,2,253,1.1637,0.0439871,4.16228,0.658413,-13.5667,6.19331
0,18,30863,8,2,253,1.17952,0.0550583,3.98328,0.71705,-12.5918,6.00241
0,19,30863,8,2,253,1.56199,0.032259,8.41203,1.93677,-14.9135,9.24901
0,20,30863,8,2,253,0.19291,0.00985946,0.74378,-7.14645,-20.0615,-1.28556
1,0,1885,2,8,253,1.16538,0.265266,3.60963,0.664688,-5.76318,5.57462
2,0,1916,2,8,253,0.0720208,0.0178063,0.227511,-11.4254,-17.4943,-6.42998
3,0,1944,2,8,253,0.72819,0.214992,2.12311,-1.37755,-6.67578,3.26972
4,0,1952,2,8,253,3.00704,1.2803,7.1455,4.78139,1.07313,8.54032
5,0,1862,2,8,253,2.03954,0.70271,4.19331,3.09532,-1.53224,6.22557
6,0,1892,2,8,253,0.999442,0.257329,2.58531,-0.00242601,-5.89512,4.12512
7,0,1903,2,8,253,2.05253,0.387683,5.61939,3.1229,-4.11523,7.49689
8,0,2093,2,8,253,0.639721,0.211203,1.00899,-1.94009,-6.753,0.0388663
9,0,1928,2,8,253,0.389813,0.130826,0.595633,-4.09144,-8.83307,-2.25021
10,0,2488,2,8,253,0.0104557,0.00343287,0.0207464,-19.8065,-24.6434,-16.8306
11,0,2009,2,8,253,0.171919,0.0492653,0.275232,-7.64677,-13.0746,-5.60301
12,0,2077,2,8,253,0.187936,0.056874,0.268096,-7.2599,-12.4509,-5.7171
13,0,1063,2,8,253,1.46832,0.534943,2.68387,1.6682,-2.71692,4.28762
14,0,1065,2,8,253,0.959227,0.343891,1.94625,-0.180784,-4.63579,2.89198
15,0,1798,2,8,253,0.876504,0.314744,1.66922,-0.572459,-5.02042,2.22514
16,0,1420,2,8,253,0.571662,0.127607,1.34533,-2.42861,-8.94124,1.28829
17,0,922,2,8,253,1.87676,0.746104,3.96041,2.73408,-1.27201,5.9774
18,0,1243,2,8,253,2.08078,0.799191,3.87244,3.18226,-0.973496,5.87984
19,0,1138,2,8,253,2.38695,0.546948,7.77197,3.77844,-2.62054,8.90531
20,0,1251,2,8,253,0.351371,0.109215,0.731168,-4.54234,-9.61717,-1.35983
