Rnti,CqiSamples,DlDataSinrSamples,CellId,BwpId,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank,MeanDlDataSinrLinear,MeanDlDataSinr_dB,MinDlDataSinr_dB,MaxDlDataSinr_dB,MeanEstimatedSinrFromCqi_dB,MinEstimatedSinrFromCqi_dB,MaxEstimatedSinrFromCqi_dB
1,696,0,0,0,11.5302,21.0101,18,24,2,2,2,0,-inf,0,0,15.2621,11.7,18.7
2,691,0,0,0,4.08683,5.75543,3,10,1,1,1,0,-inf,0,0,0.286831,-2.3,4.3
3,702,0,0,0,4.73932,7.03561,6,8,2,2,2,0,-inf,0,0,1.8265,0.2,2.4
4,731,0,0,0,13.3611,24.0616,18,25,2,2,2,0,-inf,0,0,19.5207,11.7,21
5,684,0,0,0,8.05263,13.6637,13,15,2,2,2,0,-inf,0,0,8.21579,8.1,10.3
6,698,0,0,0,14.1289,25.5315,24,27,2,2,2,0,-inf,0,0,21.0997,18.7,22.7
7,705,0,0,0,13.5121,24.5121,24,25,2,2,2,0,-inf,0,0,19.8777,18.7,21
8,709,0,0,0,4.68829,7.05219,6,8,1.41749,1,2,0,-inf,0,0,1.71425,0.2,2.4
9,689,0,0,0,10,17.8142,17,18,2,2,2,0,-inf,0,0,11.7,11.7,11.7
10,1333,0,0,0,2,1,1,1,1,1,1,0,-inf,0,0,-4.7,-4.7,-4.7
11,706,0,0,0,5.65864,9.28045,8,10,1,1,1,0,-inf,0,0,3.65142,2.4,4.3
21,693,0,0,0,4.51948,7.02309,4,8,1.02742,1,2,0,-inf,0,0,1.33463,-2.3,2.4
22,236,0,0,0,7.43644,12.1186,11,13,2,2,2,0,-inf,0,0,6.86017,5.9,8.1
23,233,0,0,0,5.69957,9.21459,7,10,2,2,2,0,-inf,0,0,3.72918,2.4,4.3
24,525,0,0,0,5.05524,7.8419,4,9,1.10667,1,2,0,-inf,0,0,2.40895,-2.3,4.3
25,460,0,0,0,10.0522,18.1043,18,22,2,2,2,0,-inf,0,0,11.82,11.7,16.3
26,143,0,0,0,5.24476,8.32168,6,11,2,2,2,0,-inf,0,0,2.71818,0.2,5.9
27,339,0,0,0,4,6,6,6,2,2,2,0,-inf,0,0,0.2,0.2,0.2
28,321,0,0,0,13.9377,24.9377,24,25,2,2,2,0,-inf,0,0,20.8567,18.7,21
29,346,0,0,0,5.26879,8.13295,7,9,2,2,2,0,-inf,0,0,2.91069,2.4,4.3
