Component,Metric,Value
cache,lookup_hits,2604432
cache,lookup_misses,4
cache,refresh_calls,4
cache,refresh_seconds,1.47385
cache,sionna_calculation_calls,4
cache,sionna_calculation_seconds,0.353787
cache,pybind_conversion_records,80
cache,spectrum_channel_matrix_calls,651109
cache,spectrum_channel_matrix_seconds,4.60466
cache,port_cfr_cache_hits,495208
cache,port_cfr_cache_misses,25005
cache,port_cfr_seconds,1.97806
cache,effective_gain_cache_hits,623204
cache,effective_gain_cache_misses,27905
cache,effective_gain_seconds,1.7539
cache,scaled_matrix_cache_hits,158801
cache,scaled_matrix_cache_misses,492308
python,cpp_pybind_conversion_records,80
python,cpp_pybind_conversion_seconds,0.010321
python,propagation_calculation_calls,4
python,propagation_calculation_receiver_count,80
python,python_cfr_seconds,0.0593619
python,python_export_seconds,0.103311
python,python_initialize_seconds,2.3366
python,python_path_solve_seconds,0.151142
python,python_perform_calculation_seconds,0.343235
phased_model,do_calc_rx_psd_calls,1294240
phased_model,do_calc_rx_psd_seconds,7.35861
phased_model,effective_gain_fast_path_calls,651109
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,2.24153
