Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,2781,11.5311,21.0122,18,24,2,2,2
2,2771,4.08589,5.75135,3,10,1,1,1
3,2836,4.74506,7.03879,6,8,2,2,2
4,2747,13.3316,24.0204,18,25,2,2,2
5,2723,8.05141,13.664,13,15,2,2,2
6,2712,14.1283,25.5406,24,27,2,2,2
7,2698,13.4941,24.4941,24,25,2,2,2
8,2681,4.6893,7.05222,6,8,1.41701,1,2
9,2767,10,17.8168,17,18,2,2,2
10,5324,2,1,1,1,1,1,1
11,2794,5.65641,9.28024,8,10,1,1,1
21,2683,4.53,7.04435,4,8,1.02646,1,2
22,468,7.42735,12.1047,11,13,2,2,2
23,465,5.69892,9.2086,7,10,2,2,2
24,4774,5.05656,7.84667,4,9,1.10494,1,2
25,4605,10.0543,18.1086,18,22,2,2,2
26,1172,5.15102,8.14846,6,11,2,2,2
27,3162,4,6,6,6,2,2,2
28,3227,13.943,24.943,24,25,2,2,2
29,3227,5.27053,8.13325,7,9,2,2,2
