NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,221.869,5,3.08487,0.842627,0.0372838,1.03522,0
1,UE,0,100000,100000,0.301631,5,4.5832,0.288396,0.0249661,0.103434,0
2,UE,0,100000,100000,0.319361,5,4.52507,0.288396,0.0835962,0.102934,0
3,UE,0,100000,100000,0.310699,5,4.55348,0.288396,0.0499822,0.108147,0
4,UE,0,100000,100000,0.301032,5,4.58517,0.288396,0.0246626,0.101773,0
5,UE,0,100000,100000,0.300831,5,4.58583,0.288396,0.0244483,0.101327,0
6,UE,0,100000,100000,0.300692,5,4.58628,0.288396,0.0243502,0.10097,0
7,UE,0,100000,100000,0.300501,5,4.58691,0.288396,0.0242252,0.10047,0
8,UE,0,100000,100000,0.311761,5,4.54999,0.288396,0.0618478,0.0997645,0
9,UE,0,100000,100000,0.302728,5,4.57961,0.288396,0.0248411,0.107156,0
10,UE,0,100000,100000,0.39369,5,4.28142,0.288396,0.284804,0.145375,0
11,UE,0,100000,100000,0.312499,5,4.54757,0.288396,0.0566336,0.107397,0
12,UE,0,100000,100000,0.315391,5,4.53809,0.288396,0.0707847,0.102728,0
13,UE,0,100000,100000,0.270967,5,4.68374,0.288396,0.00419522,0.0236664,0
14,UE,0,100000,100000,0.270964,5,4.68375,0.288396,0.00416845,0.0236842,0
15,UE,0,100000,100000,0.332156,5,4.48312,0.288396,0.0430681,0.185412,0
16,UE,0,100000,100000,0.326561,5,4.50147,0.288396,0.0411578,0.168979,0
17,UE,0,100000,100000,0.283437,5,4.64286,0.288396,0.0105148,0.0582324,0
18,UE,0,100000,100000,0.315352,5,4.53822,0.288396,0.0565793,0.116807,0
19,UE,0,100000,100000,0.307605,5,4.56362,0.288396,0.028947,0.119039,0
20,UE,0,100000,100000,0.313931,5,4.54288,0.288396,0.0499368,0.118789,0
