Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,8917,14.2955,25.6876,25,27,2,2,2
2,8966,4.73366,7.17354,5,9,1.93408,1,2
3,9249,7.82982,12.7566,10,15,2,2,2
4,8551,15,27,27,27,2,2,2
5,8508,9.82134,17.5874,16,18,2,2,2
6,8449,15,27,27,27,2,2,2
7,8415,14.7674,26.535,25,27,2,2,2
8,8897,6.24312,10.0382,6,14,2,2,2
9,8559,13.306,24.261,18,25,2,2,2
10,11720,2.95887,3.41288,2,5,1.28387,1,2
11,9320,5.33015,8.22822,5,15,1.99592,1,2
21,8878,5.35357,8.32665,5,10,1.76898,1,2
22,2940,9.5898,16.5898,16,17,2,2,2
23,3655,7.21751,11.435,9,15,2,2,2
24,18809,7.00074,11.5899,8,15,2,2,2
25,18776,13.1363,23.7019,18,25,2,2,2
26,9827,8.02371,13.4009,11,15,2,2,2
27,15835,8.17367,13.7679,11,16,2,2,2
28,15721,15,27,27,27,2,2,2
29,15634,8.16419,13.9391,13,15,2,2,2
