NodeId,Type,BwpId,InitialEnergy_J,RemainingEnergy_J,ConsumedEnergy_J,Duration_s,Time_State0_s,Time_State1_s,Time_State2_s,Time_State3_s,Time_State4_s
0,gNB,0,100000,100000,968.529,5,1.68269,0.898545,0.0750979,2.34367,0
1,UE,0,100000,100000,0.385861,5,4.29836,0.303536,0.0800217,0.318087,0
2,UE,0,100000,100000,0.406262,5,4.23147,0.303536,0.148553,0.316444,0
3,UE,0,100000,100000,0.388265,5,4.29047,0.303536,0.0830025,0.322988,0
4,UE,0,100000,100000,0.381646,5,4.31218,0.303536,0.076683,0.307606,0
5,UE,0,100000,100000,0.380986,5,4.31434,0.303536,0.0765195,0.305606,0
6,UE,0,100000,100000,0.380322,5,4.31651,0.303536,0.0757015,0.304249,0
7,UE,0,100000,100000,0.379816,5,4.31817,0.303536,0.075469,0.302821,0
8,UE,0,100000,100000,0.394043,5,4.27153,0.303536,0.116634,0.308302,0
9,UE,0,100000,100000,0.380774,5,4.31503,0.303536,0.0770559,0.304374,0
10,UE,0,100000,100000,0.470048,5,4.02238,0.303536,0.376609,0.297473,0
11,UE,0,100000,100000,0.395835,5,4.26565,0.303536,0.126884,0.303928,0
12,UE,0,100000,100000,0.400467,5,4.25047,0.303536,0.136956,0.309043,0
13,UE,0,100000,100000,0.305767,5,4.56096,0.303536,0.0262603,0.109246,0
14,UE,0,100000,100000,0.321104,5,4.51067,0.303536,0.0326424,0.15315,0
15,UE,0,100000,100000,0.4764,5,4.0015,0.303536,0.168175,0.526785,0
16,UE,0,100000,100000,0.475415,5,4.00474,0.303536,0.167809,0.523919,0
17,UE,0,100000,100000,0.419551,5,4.18789,0.303536,0.0878316,0.420738,0
18,UE,0,100000,100000,0.465954,5,4.03576,0.303536,0.141985,0.518723,0
19,UE,0,100000,100000,0.464631,5,4.04009,0.303536,0.140825,0.515545,0
20,UE,0,100000,100000,0.463438,5,4.044,0.303536,0.14004,0.51242,0
