Component,Metric,Value
cache,lookup_hits,21089590
cache,lookup_misses,6
cache,refresh_calls,6
cache,refresh_seconds,2.82872
cache,sionna_calculation_calls,6
cache,sionna_calculation_seconds,1.11912
cache,pybind_conversion_records,132
cache,spectrum_channel_matrix_calls,5272399
cache,spectrum_channel_matrix_seconds,127.586
cache,port_cfr_cache_hits,5239371
cache,port_cfr_cache_misses,32465
cache,port_cfr_seconds,12.4505
cache,effective_gain_cache_hits,5226294
cache,effective_gain_cache_misses,46105
cache,effective_gain_seconds,115.831
cache,scaled_matrix_cache_hits,46668
cache,scaled_matrix_cache_misses,5225731
python,cpp_pybind_conversion_records,132
python,cpp_pybind_conversion_seconds,0.14657
python,propagation_calculation_calls,6
python,propagation_calculation_receiver_count,132
python,python_cfr_seconds,0.288852
python,python_export_seconds,0.415537
python,python_initialize_seconds,2.33
python,python_path_solve_seconds,0.224705
python,python_perform_calculation_seconds,0.972096
phased_model,do_calc_rx_psd_calls,12869340
phased_model,do_calc_rx_psd_seconds,255.766
phased_model,effective_gain_fast_path_calls,5272399
phased_model,legacy_effective_channel_calls,0
phased_model,psd_update_seconds,120.47
