Rnti,Samples,MeanCqi,MeanMcs,MinMcs,MaxMcs,MeanRank,MinRank,MaxRank
1,721,14.2926,25.6824,25,27,2,2,2
2,733,4.74079,7.1869,6,9,1.93315,1,2
3,756,7.82937,12.7566,10,15,2,2,2
4,686,15,27,27,27,2,2,2
5,684,9.81871,17.5833,16,18,2,2,2
6,678,15,27,27,27,2,2,2
7,676,14.7648,26.5296,25,27,2,2,2
8,724,6.27624,10.0939,7,14,2,2,2
9,719,13.3394,24.3074,23,25,2,2,2
10,695,3.08921,3.62878,2,5,1.23309,1,2
11,757,5.3646,8.28666,6,11,2,2,2
21,718,5.3454,8.30919,5,10,1.76602,1,2
22,233,9.59657,16.5966,16,17,2,2,2
23,234,7.2265,11.453,9,15,2,2,2
24,521,6.96929,11.5259,8,15,2,2,2
25,474,13.1308,23.6962,18,25,2,2,2
26,139,8.01439,13.3741,11,15,2,2,2
27,343,8.16035,13.7376,11,16,2,2,2
28,316,15,27,27,27,2,2,2
29,335,8.16418,13.9403,13,15,2,2,2
