SrcId,DstId,Samples,TxPorts,RxPorts,NumRb,AvgEffectiveChannelGainLinear,MinEffectiveChannelGainLinear,MaxEffectiveChannelGainLinear,AvgEffectiveChannelGain_dB,MinEffectiveChannelGain_dB,MaxEffectiveChannelGain_dB
0,1,86374,32,2,253,4.59358,0.000423227,14.5982,6.62151,-33.7343,11.643
0,2,86374,32,2,253,0.235839,2.15894e-05,0.828608,-6.27384,-46.6576,-0.816509
0,3,86374,32,2,253,2.70636,0.00059711,8.57479,4.32385,-32.2395,9.33224
0,4,86374,32,2,253,11.3659,0.00198288,26.326,10.5561,-27.027,14.2039
0,5,86374,32,2,253,6.21729,0.00139956,15.9071,7.93601,-28.5401,12.0159
0,6,86374,32,2,253,3.22641,0.000388637,9.78561,5.0872,-34.1046,9.90588
0,7,86374,32,2,253,6.37865,0.000534832,22.1851,8.04729,-32.7178,13.4606
0,8,86374,32,2,253,1.83494,0.000269102,4.24289,2.63621,-35.7008,6.27662
0,9,86374,32,2,253,1.00996,0.000180666,2.32306,0.0430252,-37.4312,3.6606
0,10,86374,32,2,253,0.0323559,6.91526e-06,0.0779275,-14.9005,-51.6019,-11.0831
0,11,86374,32,2,253,0.469086,9.69124e-05,1.10321,-3.28748,-40.1362,0.426579
0,12,86374,32,2,253,0.497851,9.66298e-05,1.10621,-3.029,-40.1489,0.438364
0,13,86374,32,2,253,4.67854,0.00133609,11.7741,6.7011,-28.7416,10.7093
0,14,86374,32,2,253,3.206,0.000498044,7.73486,5.05964,-33.0273,8.88453
0,15,86374,32,2,253,2.48664,0.000394129,6.25582,3.95613,-34.0436,7.96284
0,16,86374,32,2,253,1.63396,0.000422453,5.64381,2.13241,-33.7422,7.51573
0,17,86374,32,2,253,6.73571,0.000889882,16.2822,8.28383,-30.5067,12.1171
0,18,86374,32,2,253,6.72734,0.00138753,15.7076,8.27844,-28.5776,11.9611
0,19,86374,32,2,253,9.11454,0.000783483,32.3455,9.59735,-31.0597,15.0981
0,20,86374,32,2,253,1.10206,0.000313895,3.01079,0.422047,-35.0322,4.7868
1,0,6049,2,32,253,7.30973,1.06115,14.3735,8.63902,0.257756,11.5756
2,0,6733,2,32,253,0.362661,0.0712248,0.920745,-4.40499,-11.4737,-0.358608
3,0,6367,2,32,253,3.80919,0.875819,8.6726,5.80833,-0.575855,9.38149
4,0,5924,2,32,253,17.3918,5.12112,28.3308,12.4034,7.09365,14.5226
5,0,5923,2,32,253,10.3833,2.81063,17.2621,10.1634,4.48803,12.3709
6,0,5894,2,32,253,5.20532,1.02949,10.4063,7.16447,0.126213,10.173
7,0,5866,2,32,253,9.99913,1.55076,22.6407,9.99962,1.90544,13.5489
8,0,6552,2,32,253,2.95913,0.844606,4.10362,4.71164,-0.733459,6.13167
9,0,6424,2,32,253,1.76593,0.532645,2.38253,2.46973,-2.73562,3.77038
10,0,5778,2,32,253,0.0494301,0.0137292,0.0837627,-13.0601,-18.6236,-10.7695
11,0,6482,2,32,253,0.706435,0.197035,1.16566,-1.50928,-7.05457,0.665724
12,0,6412,2,32,253,0.79623,0.227486,1.08229,-0.989613,-6.43045,0.343428
13,0,1619,2,32,253,6.81444,2.14168,11.0719,8.3343,3.30755,10.4422
14,0,1619,2,32,253,4.78935,1.3803,7.71734,6.80276,1.39972,8.87468
15,0,10634,2,32,253,4.35205,1.25068,6.41895,6.38694,0.971473,8.07464
16,0,9836,2,32,253,2.58321,0.505744,5.41185,4.1216,-2.9607,7.33346
17,0,3711,2,32,253,9.59162,2.98425,16.2698,9.81892,4.74835,12.1138
18,0,6797,2,32,253,10.5202,3.23987,15.2629,10.2202,5.10527,11.8364
19,0,6752,2,32,253,15.327,2.18758,34.4282,11.8546,3.39964,15.3691
20,0,6711,2,32,253,1.70793,0.437864,2.85732,2.32469,-3.58661,4.55959
